8848:  51.037929:-113.981112:1
8849:  51.039401:-114.029354:1,411
8840:  51.085273:-114.101248:20,811,816,818,145,813,819,815,812,814,832,817,831,810
8841:  51.083870:-114.098708:72,20,145
8842:  51.056393:-114.133781:1,40
8843:  51.062545:-114.146605:1,40
8844:  51.042648:-114.038920:1,411
8845:  51.039991:-114.031356:1,411
8846:  51.052531:-114.119035:1
8847:  51.037332:-114.024436:1,411
7669:  51.052438:-114.086646:1
7668:  51.161541:-114.132360:425,884,753
7661:  51.076096:-113.940359:34
7660:  51.072336:-113.941050:34,555
7663:  51.072682:-113.936059:34,555
7662:  51.076080:-113.935963:34
7665:  51.049954:-114.081907:419
7664:  50.914108:-113.965018:153,92,117,717
7667:  51.160454:-114.137134:425,884,753
7666:  51.049954:-114.081907:4,145
8710:  50.983454:-114.083288:3
8711:  50.981124:-114.083306:3
8712:  50.995933:-114.083075:73,3
8714:  51.000308:-114.082829:73,3
8715:  51.005548:-114.081246:3
8716:  51.007383:-114.081231:3
8717:  51.003143:-114.081468:3
8718:  50.999464:-114.083282:72,3
5618:  51.072568:-114.094575:414,792,791,830
5619:  51.080790:-114.094588:414,792,791,830
5612:  51.148055:-114.045993:88,109,737
5613:  51.035282:-114.187768:699
5610:  51.047190:-114.051001:411
5611:  51.035139:-114.019540:411
5616:  51.042514:-114.094474:414
5617:  51.046194:-114.094515:414
5614:  51.035029:-114.187355:699
5615:  50.916274:-113.979506:153,710
9524:  50.925355:-113.960315:92,117,714
9257:  50.918505:-114.048036:52
9255:  51.044822:-114.073411:18,10
9520:  50.922484:-113.965782:92,117,714
9521:  50.923422:-113.972467:92,117,714
9250:  50.912455:-113.945476:151,717
9251:  51.053373:-114.110912:830,834,833
6778:  51.074235:-114.078451:404
6774:  51.126680:-114.186419:76,813,802
6775:  51.135746:-114.181936:76,802
6776:  51.043746:-114.222740:456
6777:  51.077024:-113.981992:32,19,33
6770:  50.926114:-114.024298:29,715
6771:  51.115310:-114.204373:43,725
6772:  51.045246:-114.216600:456
6773:  51.079142:-114.055009:5
9964:  50.987241:-114.053237:410
9965:  51.047699:-114.069717:125,126
9966:  51.047784:-114.070670:102,117,103,110,133,151
9967:  51.137656:-114.185982:813,812,815
9962:  51.048079:-114.056653:145
3581:  50.875801:-113.968638:468
9508:  51.138654:-114.149032:154,704,796
9509:  51.138421:-114.145014:154,704,796
9502:  51.143867:-114.130865:54,805,706,818
9503:  51.144820:-114.134510:54,805,706,818
9500:  50.956581:-114.000433:92,176
9501:  51.141963:-114.131727:54,805,706,818
9506:  51.148138:-114.144028:54,805,706,818
9507:  51.146459:-114.150782:54,805,706,818
9504:  51.144863:-114.136981:54,805,706,818
9505:  51.145760:-114.139842:54,805,706,818
3689:  51.164535:-114.119992:420,883,753
3688:  51.166567:-114.121570:420,883,753
3683:  51.147655:-114.143310:818,797
3682:  51.145177:-114.139221:818,797
3681:  51.144619:-114.136201:818,797
3680:  51.144698:-114.133635:818,797
3687:  51.141262:-114.144830:818,797
3686:  51.143916:-114.147428:818,797
3685:  51.144500:-114.151188:818,797
3684:  51.147452:-114.149702:818,797
3531:  50.961728:-114.011106:302
3530:  50.962133:-114.010953:302
3533:  51.139102:-114.233746:169,158
5058:  51.038921:-114.028528:1,411
5059:  51.035834:-114.019310:1
3537:  51.138359:-114.225180:157
3536:  51.138833:-114.231333:157
5054:  51.046441:-114.063735:1,9,69
3538:  51.139330:-114.220935:157
5056:  51.044716:-114.048476:411
5057:  51.043131:-114.040929:1,103,102
5051:  51.052568:-114.103078:1,405
5052:  51.046524:-114.066683:1
5053:  51.046554:-114.066824:9,69
8746:  51.103064:-114.062317:3
8035:  51.089290:-114.209314:407
8034:  51.057325:-114.113556:9,419,405
8037:  51.059594:-114.096944:419
8036:  51.059584:-114.102711:419
8031:  51.057159:-114.107558:9,419,405
8030:  51.057164:-114.112482:9,419,405
8033:  51.057307:-114.108448:9,419,405
8032:  51.058483:-114.105449:419
8039:  51.059322:-114.075594:405
8038:  51.037629:-114.113640:112,18,20
8529:  51.048779:-114.080240:109,116
8528:  51.053196:-114.049835:9
8523:  51.148344:-114.234495:158,807,817,773,774,814
